"data","valor"
"01/07/2005","138779"
"01/08/2005","151723"
"01/09/2005","144472"
"01/10/2005","137644"
"01/11/2005","158334"
"01/12/2005","183687"
"01/01/2006","132900"
"01/02/2006","127821"
"01/03/2006","156775"
"01/04/2006","131139"
"01/05/2006","164066"
"01/06/2006","146954"
"01/07/2006","165746"
"01/08/2006","178513"
"01/09/2006","159288"
"01/10/2006","175186"
"01/11/2006","182709"
"01/12/2006","204801"
"01/01/2007","152953"
"01/02/2007","146473"
"01/03/2007","193464"
"01/04/2007","179334"
"01/05/2007","211155"
"01/06/2007","198767"
"01/07/2007","217374"
"01/08/2007","235270"
"01/09/2007","204034"
"01/10/2007","244463"
"01/11/2007","237060"
"01/12/2007","242258"
"01/01/2008","215041"
"01/02/2008","200841"
"01/03/2008","232177"
"01/04/2008","261292"
"01/05/2008","242047"
"01/06/2008","256070"
"01/07/2008","288177"
"01/08/2008","244799"
"01/09/2008","268734"
"01/10/2008","239329"
"01/11/2008","177906"
"01/12/2008","194550"
"01/01/2009","197433"
"01/02/2009","199356"
"01/03/2009","271417"
"01/04/2009","234359"
"01/05/2009","246944"
"01/06/2009","300129"
"01/07/2009","285370"
"01/08/2009","258104"
"01/09/2009","308690"
"01/10/2009","294465"
"01/11/2009","251723"
"01/12/2009","293019"
"01/01/2010","213313"
"01/02/2010","220957"
"01/03/2010","353741"
"01/04/2010","277835"
"01/05/2010","251094"
"01/06/2010","262773"
"01/07/2010","302349"
"01/08/2010","312774"
"01/09/2010","307034"
"01/10/2010","303159"
"01/11/2010","328468"
"01/12/2010","381542"
"01/01/2011","244863"
"01/02/2011","274128"
"01/03/2011","306135"
"01/04/2011","289172"
"01/05/2011","318510"
"01/06/2011","304319"
"01/07/2011","306221"
"01/08/2011","327360"
"01/09/2011","311648"
"01/10/2011","280582"
"01/11/2011","321622"
"01/12/2011","348414"
"01/01/2012","268237"
"01/02/2012","249473"
"01/03/2012","300512"
"01/04/2012","257849"
"01/05/2012","287481"
"01/06/2012","353169"
"01/07/2012","364174"
"01/08/2012","420048"
"01/09/2012","288079"
"01/10/2012","341633"
"01/11/2012","311742"
"01/12/2012","359306"
"01/01/2013","311458"
"01/02/2013","235087"
"01/03/2013","283889"
"01/04/2013","333716"
"01/05/2013","316191"
"01/06/2013","318602"
"01/07/2013","342291"
"01/08/2013","329175"
"01/09/2013","309837"
"01/10/2013","330187"
"01/11/2013","302919"
"01/12/2013","353813"
"01/01/2014","312593"
"01/02/2014","259325"
"01/03/2014","240793"
"01/04/2014","293229"
"01/05/2014","293344"
"01/06/2014","263557"
"01/07/2014","294757"
"01/08/2014","272448"
"01/09/2014","296286"
"01/10/2014","306849"
"01/11/2014","294636"
"01/12/2014","370001"
"01/01/2015","253788"
"01/02/2015","185938"
"01/03/2015","234658"
"01/04/2015","219371"
"01/05/2015","212693"
"01/06/2015","212522"
"01/07/2015","227606"
"01/08/2015","207261"
"01/09/2015","200075"
"01/10/2015","192151"
"01/11/2015","195193"
"01/12/2015","227724"
"01/01/2016","155277"
"01/02/2016","146804"
"01/03/2016","179279"
"01/04/2016","162846"
"01/05/2016","167487"
"01/06/2016","171802"
"01/07/2016","181399"
"01/08/2016","183887"
"01/09/2016","159953"
"01/10/2016","159032"
"01/11/2016","178128"
"01/12/2016","204366"
"01/01/2017","147200"
"01/02/2017","135649"
"01/03/2017","189105"
"01/04/2017","156907"
"01/05/2017","195551"
"01/06/2017","194796"
"01/07/2017","184800"
"01/08/2017","216520"
"01/09/2017","199204"
"01/10/2017","202844"
"01/11/2017","204181"
"01/12/2017","212600"
"01/01/2018","181245"
"01/02/2018","156880"
"01/03/2018","207353"
"01/04/2018","217322"
"01/05/2018","201870"
"01/06/2018","201963"
"01/07/2018","217476"
"01/08/2018","248598"
"01/09/2018","213338"
"01/10/2018","254725"
"01/11/2018","230926"
"01/12/2018","234529"
"01/01/2019","199788"
"01/02/2019","198648"
"01/03/2019","209160"
"01/04/2019","231939"
"01/05/2019","245456"
"01/06/2019","223203"
"01/07/2019","243621"
"01/08/2019","243007"
